"","Year","Lon_M","Lat_M","MUN","ANC","DC","SST","SALI","GSST","BAT","CHL"
"534",2001,-81.02533,-8.834666,0,0,114.4016,18.91775,34.98948,0.02222346,-5778.941,0.683765897
"524",2001,-77.58635,-12.14608,0,0,24.70011,16.66988,34.92555,0.01414854,-189.1062,0.78378651
"419",2001,-78.08822,-14.15018,0,0,99.40663,16.56315,34.9565,0.2159025,-4448.888,0.427915654
"2034",2001,-76.09039,-16.67995,0,0,93.91769,17.273,34.98374,0.03401705,-4107.381,0.164387391
"1193",2001,-80.45798,-9.797331,0,0,115.4647,18.64152,34.98694,0.1210983,-6072.058,0.603534697
"107",2001,-79.64817047,-9.53033352,0,25.79882318,64.95879135,18.07451591,34.94514606,0.228472367,-726.7440877,0.447567978
"4037",2001,-71.99785,-18.26382,0,0,48.53206,16.79307,34.94254,0.378056,-2475.472,0.35580574
"2947",2001,-81.1765,-7.769166,0,0,89.67183,18.37822,34.96754,0.2171437,-5034.542,0.995771628
"141",2001,-73.66065,-16.54593,0,0,18.39062,16.67361,34.88239,0.380878,-1816.304,0.816445909
"2243",2001,-79.067,-12.10358,0,0,96.0949,17.77688,35.11001,0.07083696,-5567.393,0.271671273
"1112",2001,-80.68983459,-8.5296669,0,29.992,87.60633663,18.23940938,34.91709757,0.262206651,-3083.790273,0.865907943
"810",2001,-73.64104,-17.97337,0,0,94.66241,17.79526,35.01951,0.06262307,-4417.603,0.399594306
"531",2001,-82.22767,-7.414667,0,0,104.7426,18.77191,35.01642,0.0288765,-4317.297,0.440466799
"1292",2001,-74.84885,-16.51167,0,0,48.63697,16.48628,34.91841,0.0646823,-5964.745,0.260214193
"4015",2001,-76.66973,-15.9687,0,0,88.83423,17.27542,35.01615,0.08635007,-2895.255,0.186361492
"515",2001,-72.9342,-18.0002,0,0,75.54825,17.44324,35.01439,0.1069442,-6866.674,0.262069414
"1726",2001,-79.17433,-9.549833,0,0,40.20216,16.97421,34.96237,0.2281135,-153.1562,0.969820529
"154",2001,-78.65395,-12.4584,0,0,89.91164,17.68952,35.09514,0.03746859,-5890.562,0.299644543
"2824",2001,-77.20335,-13.04335,0,0,37.52598,16.76396,35.00604,0.1693008,-1275.197,0.442892807
"399",2001,-80.98317,-8.940166,0,0,115.9251,18.92754,34.97943,0.06698577,-5591.85,0.706528395
"3761",2001,-81.6595,-7.163333,0,0,72.91597,18.33806,34.98086,0.1958962,-5365.046,0.378603045
"482",2001,-72.8985,-18.00282,0,0,74.41824,17.41313,35.01216,0.1265979,-6856.976,0.263841913
"869",2001,-77.9939,-13.86643,0,0,92.85335,16.92895,34.95408,0.07270173,-4790.314,0.568434838
"3611",2001,-72.60358,-18.27953,0,0,77.71673,16.57124,34.9426,0.254275,-6827.24,0.265985304
