X,Y
-70.33,-18.479
-70.328,-18.478
-70.328,-18.477
-70.329,-18.476
-70.33,-18.476
-70.332,-18.474
-70.333,-18.474
-70.336,-18.471
-70.331,-18.466
-70.33,-18.468
-70.332,-18.47
-70.332,-18.472
-70.331,-18.473
-70.33,-18.473
-70.329,-18.474
-70.328,-18.474
-70.328,-18.475
-70.327,-18.475
-70.326,-18.475
-70.325,-18.476
-70.324,-18.474
-70.324,-18.473
-70.324,-18.473
-70.325,-18.473
-70.326,-18.472
-70.326,-18.469
-70.326,-18.469
-70.325,-18.469
-70.325,-18.469
-70.325,-18.471
-70.323,-18.472
-70.321,-18.472
-70.32,-18.471
-70.319,-18.471
-70.318,-18.47
-70.317,-18.47
-70.313,-18.465
-70.312,-18.465
-70.311,-18.465
-70.31,-18.465
-70.306,-18.461
-70.306,-18.46
-70.306,-18.459
-70.306,-18.458
-70.305,-18.457
-70.305,-18.451
-70.306,-18.45
-70.306,-18.445
-70.306,-18.444
-70.306,-18.443
-70.307,-18.442
-70.307,-18.439
-70.309,-18.438
-70.309,-18.437
-70.31,-18.436
-70.31,-18.435
-70.31,-18.434
-70.31,-18.433
-70.312,-18.432
-70.312,-18.431
-70.314,-18.429
-70.314,-18.428
-70.315,-18.427
-70.316,-18.426
-70.316,-18.426
-70.317,-18.426
-70.317,-18.425
-70.317,-18.424
-70.321,-18.42
-70.321,-18.419
-70.324,-18.417
-70.324,-18.416
-70.326,-18.414
-70.326,-18.413
-70.327,-18.412
-70.327,-18.411
-70.33,-18.408
-70.33,-18.408
-70.332,-18.405
-70.332,-18.404
-70.336,-18.401
-70.336,-18.4
-70.336,-18.399
-70.336,-18.398
-70.338,-18.397
-70.338,-18.396
-70.343,-18.391
-70.343,-18.39
-70.346,-18.388
-70.346,-18.387
-70.349,-18.383
-70.349,-18.383
-70.35,-18.382
-70.35,-18.381
-70.352,-18.378
-70.352,-18.378
-70.354,-18.376
-70.354,-18.375
-70.358,-18.371
-70.358,-18.37
-70.373,-18.356
-70.373,-18.355
-70.374,-18.355
-70.375,-18.355
-70.376,-18.354
-70.376,-18.353
-70.385,-18.344
-70.386,-18.344
-70.389,-18.34
-70.39,-18.34
-70.393,-18.337
-70.394,-18.337
-70.397,-18.334
-70.397,-18.333
-70.398,-18.332
-70.399,-18.332
-70.401,-18.331
-70.402,-18.331
-70.404,-18.328
-70.405,-18.328
-70.406,-18.328
-70.406,-18.327
-70.406,-18.326
-70.407,-18.326
-70.409,-18.324
-70.41,-18.324
-70.413,-18.321
-70.413,-18.321
-70.415,-18.32
-70.416,-18.32
-70.418,-18.318
-70.418,-18.318
-70.42,-18.316
-70.421,-18.316
-70.422,-18.316
-70.423,-18.316
-70.424,-18.314
-70.425,-18.314
-70.428,-18.311
-70.428,-18.311
-70.432,-18.308
-70.433,-18.308
-70.435,-18.305
-70.436,-18.305
-70.437,-18.305
-70.438,-18.305
-70.44,-18.302
-70.441,-18.302
-70.443,-18.301
-70.443,-18.3
-70.445,-18.299
-70.446,-18.299
-70.447,-18.298
-70.448,-18.298
-70.449,-18.296
-70.45,-18.296
-70.451,-18.296
-70.452,-18.295
-70.454,-18.293
-70.455,-18.293
-70.458,-18.29
-70.458,-18.29
-70.461,-18.288
-70.462,-18.288
-70.464,-18.286
-70.465,-18.285
-70.467,-18.284
-70.468,-18.284
-70.47,-18.281
-70.471,-18.281
-70.473,-18.28
-70.473,-18.28
-70.474,-18.279
-70.475,-18.279
-70.477,-18.277
-70.478,-18.277
-70.479,-18.275
-70.48,-18.276
-70.483,-18.273
-70.483,-18.273
-70.484,-18.272
-70.485,-18.272
-70.488,-18.27
-70.488,-18.27
-70.489,-18.269
-70.49,-18.269
-70.492,-18.267
-70.493,-18.267
-70.493,-18.266
-70.494,-18.266
-70.495,-18.265
-70.496,-18.265
-70.499,-18.262
-70.5,-18.262
-70.501,-18.261
-70.502,-18.261
-70.504,-18.259
-70.505,-18.259
-70.506,-18.258
-70.507,-18.258
-70.508,-18.257
-70.508,-18.257
-70.51,-18.255
-70.511,-18.255
-70.513,-18.253
-70.514,-18.253
-70.515,-18.252
-70.516,-18.252
-70.517,-18.251
